x,y
0.000000000000000000e+00,2.651505558613641012e-01
1.000100010001000133e-04,5.316329484310248349e-02
2.000200020002000265e-04,1.769540654575075256e-01
3.000300030003000534e-04,1.880625238637489427e-01
4.000400040004000531e-04,3.851528107235363541e-02
5.000500050005000528e-04,6.481798004504579769e-02
6.000600060006001067e-04,-1.096447081211946728e-01
7.000700070007000522e-04,-9.892091123420607146e-02
8.000800080008001062e-04,-2.981511309148690003e-01
9.000900090009001601e-04,-1.155459538820919341e-01
1.000100010001000106e-03,-5.369012641176331563e-02
1.100110011001100051e-03,-4.168791008107152612e-02
1.200120012001200213e-03,-2.311318868543310590e-01
1.300130013001300159e-03,3.255123000627596630e-01
1.400140014001400104e-03,1.349818817680693284e-01
1.500150015001500267e-03,2.210666283938389765e-01
1.600160016001600212e-03,1.604278508654622890e-02
1.700170017001700158e-03,-5.186642183159022312e-02
1.800180018001800320e-03,-1.979999913903594810e-01
1.900190019001900266e-03,-2.035173551458264174e-01
2.000200020002000211e-03,2.273810012724997998e-01
2.100210021002100157e-03,3.169664248750136415e-01
2.200220022002200102e-03,2.966652690466959896e-01
2.300230023002300481e-03,8.067968051917935590e-02
2.400240024002400427e-03,2.929124933079814141e-01
2.500250025002500372e-03,-2.139128421233937039e-01
2.600260026002600318e-03,9.138062575617138250e-02
2.700270027002700263e-03,1.629556504409222228e-01
2.800280028002800209e-03,-9.022332037358357648e-02
2.900290029002900588e-03,-4.065015926557574155e-01
3.000300030003000534e-03,2.456651792271400195e-02
3.100310031003100479e-03,4.553240335870362837e-02
3.200320032003200425e-03,-2.005310865068661574e-01
3.300330033003300370e-03,5.400719455818844827e-02
3.400340034003400316e-03,1.513092959494376222e-01
3.500350035003500261e-03,-1.126818276304907274e-01
3.600360036003600640e-03,9.050943581849504871e-03
3.700370037003700586e-03,-4.136875300006386813e-01
3.800380038003800531e-03,-2.014342702838255728e-01
3.900390039003900477e-03,-1.207142484034875729e-01
4.000400040004000422e-03,2.308370462030647774e-01
4.100410041004100802e-03,2.949995822753096603e-02
4.200420042004200313e-03,-1.102880676396778351e-02
4.300430043004300693e-03,-1.537300062585361116e-01
4.400440044004400204e-03,6.920322696635558546e-02
4.500450045004500584e-03,-3.538243978494772651e-02
4.600460046004600963e-03,3.340670108085342371e-01
4.700470047004700475e-03,3.157693129009576660e-01
4.800480048004800854e-03,-9.075928858339524230e-02
4.900490049004900366e-03,3.236036641216901572e-02
5.000500050005000745e-03,2.160168956300509771e-02
5.100510051005100257e-03,4.497125312241437856e-01
5.200520052005200636e-03,1.290622888077367081e-01
5.300530053005301015e-03,4.151136109932175577e-02
5.400540054005400527e-03,-1.372425329403600403e-01
5.500550055005500906e-03,2.028163736439037024e-01
5.600560056005600418e-03,1.037923862764774108e-01
5.700570057005700797e-03,-1.911271759704248341e-01
5.800580058005801176e-03,1.312876764811123365e-01
5.900590059005900688e-03,-1.757751764466375932e-01
6.000600060006001067e-03,1.977244584442436059e-01
6.100610061006100579e-03,-3.950117486042364900e-01
6.200620062006200958e-03,1.249292386825396062e-01
6.300630063006300470e-03,5.346077179305556287e-02
6.400640064006400849e-03,-2.291373655146611565e-01
6.500650065006501228e-03,9.677095946711175567e-02
6.600660066006600740e-03,9.287958395917583765e-02
6.700670067006701119e-03,9.111137356953121630e-03
6.800680068006800631e-03,1.221705019727979402e-01
6.900690069006901010e-03,-1.646504660609400261e-01
7.000700070007000522e-03,-4.045075286015353822e-01
7.100710071007100901e-03,6.481811608586372786e-02
7.200720072007201281e-03,-7.252512772838963506e-02
7.300730073007300792e-03,1.686042165045723018e-01
7.400740074007401172e-03,1.513471467618145994e-01
7.500750075007500683e-03,4.201658984057941026e-01
7.600760076007601063e-03,-3.264008107505806527e-02
7.700770077007701442e-03,3.003045434787117718e-01
7.800780078007800954e-03,2.436560611513721164e-01
7.900790079007900465e-03,-1.538635250656253950e-01
8.000800080008000845e-03,3.101054621147814397e-02
8.100810081008101224e-03,-1.218994308877925647e-01
8.200820082008201603e-03,2.208585716891983686e-01
8.300830083008300248e-03,-2.625890936662074737e-01
8.400840084008400627e-03,2.181364598823118395e-01
8.500850085008501006e-03,1.734716943535078715e-01
8.600860086008601385e-03,4.594827521226135802e-02
8.700870087008701764e-03,2.186779006969975792e-01
8.800880088008800409e-03,5.642276299553967978e-02
8.900890089008900788e-03,-1.359674508443627916e-01
9.000900090009001167e-03,-1.629146459885378595e-01
9.100910091009101546e-03,3.292212141957516491e-02
9.200920092009201925e-03,2.233657680395192691e-01
9.300930093009300570e-03,1.124322330388838609e-01
9.400940094009400949e-03,4.021855592508117305e-01
9.500950095009501328e-03,2.166352226302982187e-01
9.600960096009601707e-03,-1.006920479509354344e-01
9.700970097009702087e-03,-1.311205747963178903e-01
9.800980098009800731e-03,2.503760029491644556e-02
9.900990099009901110e-03,-1.160899786446569909e-01
