x,y
0.000000000000000000e+00,3.454031016988735603e-01
1.111111111111111049e-01,1.729659223125194212e-01
2.222222222222222099e-01,3.062292597343281297e-01
3.333333333333333148e-01,6.015320974623478145e-01
4.444444444444444198e-01,9.363864668887061926e-01
5.555555555555555802e-01,1.269058936034669349e+00
6.666666666666666297e-01,9.872241635469116705e-01
7.777777777777776791e-01,1.395479315764553085e+00
8.888888888888888395e-01,1.637568472499916661e+00
1.000000000000000000e+00,2.267164517553368785e+00
